,Jogador,Equipe,Minutos jogados:,Golos,Assistências,"Duelos ganhos, %",Altura,"Duelos defensivos ganhos, %","Duelos aéreos ganhos, %",Interseções/90,Golos sem ser por penálti,Golos esperados/90,Golos de cabeça,Golos de cabeça/90,Remate,"Remates à baliza, %","Golos marcados, %","Cruzamentos certos, %","Cruzamentos precisos do flanco esquerdo, %","Cruzamentos precisos do flanco direito, %",Dribles/90,"Dribles com sucesso, %","Duelos ofensivos ganhos, %","Passes certos, %","Passes para a frente certos, %","Passes para trás certos, %","Passes laterais certos, %","Passes curtos / médios precisos, %","Passes longos certos, %","Passes inteligentes certos, %","Passes certos para terço final, %","Passes precisos para a área de penálti, %","Passes em profundidade certos, %","Passes progressivos certos, %"
93,Eduardo,Botafogo,3653,11,6,44.17,184,47.17,31.62,1.62,11,0.25,2,0.05,50,40.0,22.0,21.95,42.86,17.65,1.89,52.0,49.14,83.4,74.76,94.47,84.65,87.14,62.5,44.44,74.24,37.31,26.09,83.23
94,Mikael,América Mineiro,412,1,0,36.27,184,50.0,23.53,0.66,1,0.42,0,0.0,17,35.29,5.882,20.0,0.0,20.0,4.81,40.91,31.67,79.69,58.33,100.0,80.95,85.96,50.0,50.0,60.0,42.86,100.0,85.71
95,Matheus Peixoto,Atlético GO,1670,6,2,36.29,190,45.45,42.22,1.83,2,0.41,1,0.05,34,47.06,17.647,14.29,50.0,0.0,0.86,62.5,29.85,77.25,58.33,92.31,75.71,80.0,63.64,100.0,57.89,25.0,66.67,40.0
96,Elias Manoel,New York RB,1967,5,1,28.81,176,55.74,19.61,1.8,5,0.34,1,0.05,44,31.82,11.364,35.29,33.33,36.36,1.98,47.62,27.27,69.87,46.34,77.42,69.01,72.73,45.45,50.0,50.0,55.0,50.0,67.74
97,Carlos Eduardo,Alanyaspor,1734,3,0,43.76,173,53.17,33.33,3.38,2,0.12,0,0.0,23,30.43,13.043,20.0,20.0,20.0,4.8,52.27,43.5,72.93,60.87,91.03,68.69,77.9,50.0,28.57,52.63,52.94,42.86,57.5
98,Anderson Silva,Alanyaspor,1474,4,0,27.4,186,43.75,23.39,1.57,4,0.31,0,0.0,41,31.71,9.756,22.22,33.33,0.0,3.47,32.08,26.9,70.73,53.57,84.78,77.14,73.33,83.33,40.0,56.25,50.0,25.0,64.29
99,Thonny Anderson,ABC,1601,2,3,40.07,184,55.43,37.84,3.37,0,0.19,0,0.0,26,34.62,7.692,31.82,60.0,8.33,4.83,48.84,37.88,70.66,56.28,89.9,76.47,74.72,51.06,29.63,53.61,35.09,21.62,78.67
100,Zé Roberto,Mirassol,2624,9,2,37.4,184,33.65,47.06,1.58,6,0.28,1,0.03,50,44.0,18.0,38.1,38.46,37.5,2.92,30.59,33.33,73.53,58.33,90.08,75.54,75.83,50.0,33.33,62.3,42.86,29.41,71.88
101,Júnior Brumado,Hansa Rostock,774,1,0,31.33,190,48.15,39.71,1.16,1,0.28,0,0.0,19,21.05,5.263,50.0,0.0,50.0,5.0,51.16,25.58,81.82,71.43,87.5,81.08,81.88,100.0,80.0,66.67,100.0,66.67,72.73
102,Bruno Duarte,Farense,1506,3,0,37.0,182,54.76,36.28,1.43,3,0.37,2,0.12,37,37.84,8.108,31.25,50.0,20.0,2.93,57.14,37.12,75.45,58.0,89.87,76.62,79.27,56.25,50.0,53.57,50.0,37.5,80.77
103,Matheus Babi,Goiás,1851,6,1,35.6,191,53.92,39.48,1.99,3,0.27,1,0.05,32,43.75,18.75,0.0,0.0,0.0,2.09,39.53,27.68,72.7,54.55,89.33,73.02,75.19,50.0,0.0,64.52,11.11,0.0,60.0
104,Gabriel Novaes,Goiás,618,2,0,34.9,183,40.0,26.67,1.77,0,0.16,0,0.0,4,50.0,0.0,33.33,0.0,100.0,3.71,42.86,33.82,81.69,69.23,95.0,73.68,83.58,100.0,0.0,62.5,75.0,0.0,75.0
105,Marcos Júnior,Sanfrecce Hiroshima,1652,4,3,41.67,167,55.38,22.58,1.69,4,0.31,0,0.0,43,44.19,9.302,30.95,26.09,36.84,1.36,60.0,42.96,79.5,63.89,94.81,82.7,84.58,48.48,56.52,67.07,60.0,45.83,77.14
106,Daniel,Fluminense,2086,1,1,46.49,173,56.36,27.78,2.56,1,0.09,0,0.0,25,24.0,4.0,50.0,40.91,61.54,1.91,53.66,45.16,84.91,73.25,97.47,89.85,89.38,58.93,45.0,76.35,54.13,41.94,89.85
107,Vitor Bueno,Athletico Paranaense,3115,10,6,43.99,184,59.13,45.45,1.67,7,0.21,0,0.0,83,42.17,12.048,49.06,54.17,44.44,2.84,58.76,42.04,82.37,69.66,94.12,85.71,86.01,50.68,47.62,76.88,55.0,41.38,82.42
108,Francisco da Costa,Bolívar,1587,3,0,35.81,185,41.18,38.3,1.81,3,0.26,1,0.07,34,38.24,8.824,50.0,42.86,0.0,2.1,48.28,32.98,74.63,56.82,88.89,68.42,76.29,33.33,33.33,56.25,50.0,33.33,68.0
109,Moisés,Cruz Azul,2220,8,3,43.04,175,50.0,48.33,1.58,8,0.25,0,0.0,56,48.21,14.286,29.03,33.33,0.0,6.97,48.26,42.05,81.06,71.64,94.55,82.41,84.84,80.0,33.33,80.43,65.63,50.0,76.92
110,Leandro Damião,Kawasaki Frontale,546,1,1,34.07,188,57.14,44.19,0.82,0,0.5,0,0.0,15,33.33,6.667,0.0,0.0,0.0,0.99,50.0,30.23,65.15,78.57,88.89,55.0,67.74,33.33,0.0,50.0,57.14,0.0,80.0
111,Anderson Lopes,Yokohama F. Marinos,3263,23,4,30.66,185,52.33,27.78,1.63,21,0.52,10,0.28,84,51.19,27.381,33.33,25.0,0.0,2.76,47.0,28.21,82.06,70.8,92.31,83.17,83.78,57.58,53.85,77.94,51.61,50.0,70.37
112,Vinicius Mello,Charlotte FC,1097,5,2,36.29,182,54.55,33.33,1.77,3,0.52,1,0.1,26,38.46,11.538,25.0,0.0,40.0,3.53,55.56,36.11,78.3,52.63,95.31,74.24,82.54,47.06,0.0,51.85,66.67,0.0,73.68
113,Paulinho,Corinthians,781,2,0,48.41,183,75.0,45.24,3.46,2,0.13,1,0.12,11,18.18,18.182,50.0,66.67,0.0,1.04,66.67,42.19,86.17,57.58,98.55,96.0,89.02,42.86,50.0,57.14,50.0,100.0,57.14
114,Raniel,Qingdao West Coast,1979,12,2,41.34,181,55.56,39.09,1.64,8,0.54,1,0.05,62,48.39,19.355,33.33,16.67,66.67,3.96,49.43,38.69,77.22,57.38,92.86,74.42,79.32,61.54,50.0,57.58,50.0,50.0,68.18
115,Vina,Al Hazem,3332,7,1,41.95,177,40.91,46.51,2.28,6,0.29,2,0.06,80,40.0,8.75,41.46,28.57,48.15,1.14,53.66,46.31,83.24,73.56,95.11,86.75,86.55,67.72,42.22,74.9,54.17,40.98,85.89
116,Luiz Phellype,OFI,960,3,0,29.11,188,48.15,25.49,1.13,3,0.26,1,0.09,23,39.13,13.043,25.0,0.0,50.0,1.31,57.14,26.26,89.12,77.27,96.83,92.65,90.32,100.0,50.0,84.62,40.0,50.0,100.0
117,Camilo Sanvezzo,Querétaro,1853,8,3,34.92,170,53.16,16.67,1.26,7,0.32,1,0.05,59,35.59,13.559,26.32,37.5,18.18,2.57,50.94,36.24,76.79,71.21,86.81,75.23,80.57,58.82,33.33,67.86,69.23,30.0,80.65
118,Gustavo,Jeonbuk Motors,1599,3,0,41.65,189,50.0,49.63,1.91,2,0.35,0,0.0,33,51.52,9.091,33.33,25.0,40.0,1.86,45.45,29.2,68.14,50.0,92.54,72.15,71.22,33.33,44.44,40.0,46.88,50.0,66.67
119,André Luis,Jeonbuk Motors,1491,2,1,42.2,179,56.06,37.7,1.39,2,0.18,2,0.12,26,30.77,7.692,26.32,23.08,33.33,3.08,49.02,39.58,81.79,78.57,95.15,75.0,86.1,61.11,66.67,84.21,50.0,57.14,75.51
120,Douglas Tanque,Kocaelispor,2604,18,3,35.44,188,51.02,41.03,2.4,16,0.55,4,0.14,89,49.44,20.225,11.76,7.14,33.33,2.89,54.22,32.29,72.3,56.63,87.72,68.7,76.63,42.31,14.29,63.64,40.0,23.08,78.38
121,Arthur Caíke,Kashima Antlers,893,3,0,35.47,174,53.13,43.62,2.32,2,0.37,1,0.1,27,22.22,11.111,23.08,10.0,66.67,1.91,31.58,24.73,80.0,58.14,93.44,74.63,85.15,20.0,33.33,64.29,55.56,28.57,66.67
122,Jairo,Pafos,2748,20,5,34.13,181,53.28,31.02,2.36,19,0.53,3,0.1,81,41.98,24.691,30.0,42.86,27.91,5.08,45.16,32.14,68.58,52.98,90.32,66.67,73.47,30.77,41.94,56.52,53.19,33.33,82.19
123,Guilherme,Goiás,2501,10,3,45.17,174,51.53,36.54,2.54,7,0.27,1,0.04,51,39.22,19.608,15.0,14.29,16.0,2.87,47.44,45.5,81.51,72.63,95.56,83.44,85.94,58.49,47.62,74.63,42.47,42.31,76.06
124,Diogo,Coritiba,1626,4,1,37.33,194,51.11,44.53,2.55,4,0.31,1,0.06,28,42.86,14.286,25.0,50.0,22.73,2.05,37.84,25.13,75.97,57.89,87.5,75.28,81.45,36.36,66.67,66.67,39.29,100.0,65.71
125,Diego Oliveira,Tokyo,2617,14,1,35.28,179,61.04,34.93,1.65,12,0.32,4,0.14,58,37.93,24.138,36.36,30.0,41.67,3.44,60.0,31.94,76.35,66.18,87.74,78.34,79.22,26.67,33.33,64.15,64.58,36.36,77.05
126,Cléber,Ceará,466,1,0,31.65,199,25.71,45.45,0.77,1,0.59,1,0.19,15,40.0,6.667,40.0,50.0,0.0,1.55,37.5,25.58,82.56,76.47,90.32,78.95,87.01,40.0,100.0,75.0,57.14,0.0,90.0
127,Emerson Deocleciano,RFS,3329,9,10,45.47,174,56.36,44.74,2.41,9,0.39,0,0.0,127,42.52,7.087,37.25,37.93,33.33,8.08,57.53,45.23,81.87,75.0,94.3,82.39,87.08,55.91,51.92,70.48,70.09,43.33,91.83
128,Ademilson,Machida Zelvia,1626,9,2,40.33,176,50.0,23.81,1.38,7,0.49,0,0.0,56,35.71,16.071,50.0,37.5,55.56,3.54,53.13,43.86,76.64,58.77,93.08,79.58,78.71,66.67,16.67,60.53,65.91,27.27,80.0
129,Pablo,Athletico Paranaense,3241,13,4,33.14,185,47.46,34.78,2.34,13,0.32,1,0.03,76,36.84,17.105,41.18,33.33,40.0,1.29,48.89,32.47,81.52,64.29,91.67,86.72,83.47,65.96,42.11,73.26,54.17,38.89,77.17
130,Paulinho Bóia,América Mineiro,815,1,1,38.0,171,42.5,41.18,1.76,1,0.11,0,0.0,8,50.0,12.5,42.86,28.57,57.14,7.33,54.0,39.29,75.41,57.14,90.2,79.03,78.98,66.67,0.0,69.23,38.89,0.0,73.33
131,Cesinha,Daegu,2457,12,6,38.51,177,49.47,14.63,1.54,9,0.24,2,0.07,84,40.48,14.286,44.44,52.17,36.36,4.36,51.26,39.72,81.3,74.67,94.12,81.82,85.55,63.75,50.0,73.72,60.71,45.83,81.38
132,Lucas Barbosa,Coritiba,1227,4,0,43.32,193,56.62,43.37,3.67,4,0.21,2,0.15,21,47.62,19.048,15.79,18.18,12.5,2.64,44.44,32.58,67.42,56.14,87.3,66.67,73.93,47.06,20.0,46.94,45.0,45.45,65.57
133,Robson,Coritiba,2860,8,4,41.73,175,54.87,36.84,2.74,5,0.32,1,0.03,51,45.1,15.686,30.77,16.67,34.21,2.86,53.85,41.09,68.93,55.73,87.9,68.39,76.4,30.0,40.0,54.32,41.43,27.59,64.41
134,Edu,Coritiba,959,5,1,32.03,181,50.0,34.88,1.31,5,0.29,1,0.09,22,45.45,22.727,33.33,50.0,0.0,1.97,33.33,24.19,67.5,56.52,82.86,77.27,70.14,57.14,16.67,50.0,45.0,16.67,74.07
135,Léo Ceará,Cerezo Osaka,2695,11,4,33.41,178,57.89,37.25,1.47,9,0.39,6,0.2,85,36.47,12.941,20.0,27.27,7.69,2.97,44.94,30.81,73.86,63.96,88.1,76.88,77.35,66.67,30.0,62.26,41.18,28.57,73.21
136,Léo Bonatini,Atlético de San Luis,1937,9,1,31.27,185,61.82,27.71,1.86,9,0.27,1,0.05,45,40.0,20.0,10.0,0.0,14.29,2.46,47.17,29.15,77.38,59.21,94.0,80.36,79.71,63.16,16.67,64.1,46.15,20.0,68.0
137,Fabinho,Criciúma,3242,13,2,36.12,180,53.78,29.29,1.2,11,0.26,1,0.03,73,35.62,15.068,14.29,0.0,16.67,2.94,45.63,34.12,81.66,68.07,90.24,83.65,85.28,56.67,47.62,75.31,59.38,41.18,77.42
138,Dodô,Atlético GO,1549,3,2,38.52,176,40.58,29.03,2.03,2,0.21,0,0.0,33,24.24,9.091,37.5,25.0,43.75,1.98,47.06,39.82,76.81,63.74,91.53,75.98,81.89,64.44,40.0,71.43,50.0,37.5,81.91
139,Luiz Fernando,Atlético GO,4349,19,7,40.18,178,51.96,28.19,2.17,18,0.36,6,0.12,113,40.71,16.814,32.08,35.48,27.27,3.27,49.37,44.22,80.44,64.19,94.49,80.07,84.66,55.32,36.84,69.7,55.95,44.44,80.0
140,Dyego Sousa,Alcorcón,811,2,1,40.97,189,59.38,46.05,1.66,2,0.32,0,0.0,18,38.89,11.111,50.0,66.67,50.0,3.88,60.0,34.59,77.19,71.15,92.0,72.09,79.38,40.0,71.43,72.0,63.16,71.43,84.62
141,Juan,São Paulo,1440,4,1,41.32,176,55.84,30.51,1.96,4,0.23,1,0.06,20,50.0,20.0,27.27,16.67,26.67,2.71,46.51,36.17,81.74,78.26,92.73,75.79,85.71,81.82,50.0,64.71,60.0,50.0,85.19
142,Flamarion,Dinamo Batumi,3154,20,4,46.04,171,59.57,38.1,1.64,18,0.41,3,0.09,69,53.62,26.087,30.77,36.36,0.0,3.14,52.34,44.53,86.52,77.68,93.0,88.97,88.12,54.17,18.18,81.2,67.39,36.36,87.5
143,Leonardo,Zhejiang Professional,2765,20,4,36.6,180,58.02,25.71,0.94,18,0.48,3,0.1,87,54.02,22.989,35.29,33.33,33.33,2.54,48.72,36.58,73.7,66.01,92.11,74.62,77.63,50.0,40.91,68.85,58.33,40.0,83.58
144,Igor Torres,Ponte Preta,844,2,1,36.81,182,40.3,37.93,2.03,2,0.4,0,0.0,24,33.33,8.333,40.0,33.33,42.86,3.31,58.06,37.5,75.18,60.87,94.44,70.59,78.23,66.67,0.0,88.89,40.0,0.0,50.0
145,Deyverson,Cuiabá,3186,15,0,38.13,189,46.48,47.25,1.92,12,0.37,5,0.14,75,54.67,20.0,29.17,16.67,66.67,2.01,33.8,31.09,64.8,49.01,87.18,64.29,67.0,56.0,33.33,57.14,34.04,25.0,68.06
146,Gilberto,Cruzeiro,3112,10,3,35.86,178,52.38,33.54,1.16,9,0.36,3,0.09,78,41.03,12.821,29.17,33.33,25.0,1.3,53.33,32.16,78.42,66.3,92.31,78.1,81.05,71.43,16.67,69.57,62.07,50.0,77.55
147,Fábio Gomes,Juventude,636,1,0,32.32,193,52.17,38.46,1.42,1,0.19,1,0.14,8,25.0,12.5,16.67,0.0,25.0,1.84,23.08,15.38,74.71,73.68,81.48,76.19,79.49,66.67,0.0,71.43,60.0,100.0,72.73
148,Ivonei,Botafogo SP,839,0,0,45.79,175,53.85,31.25,1.29,0,0.18,0,0.0,21,23.81,0.0,0.0,0.0,0.0,1.82,35.29,44.74,89.21,72.88,96.05,94.12,91.12,66.67,0.0,80.65,58.33,20.0,76.0
149,Thiago,Club Brugge,3786,22,4,34.64,188,50.87,40.09,1.76,20,0.48,8,0.19,102,49.02,21.569,12.5,11.11,14.29,2.66,47.32,24.75,72.26,48.25,89.12,68.69,76.09,28.13,31.25,41.79,51.16,22.22,59.26
150,Rildo,Portimonense,1358,4,1,34.74,178,45.88,18.18,1.52,2,0.29,0,0.0,27,40.74,14.815,33.33,35.71,25.0,4.04,39.34,36.49,75.19,65.43,90.91,67.61,79.41,57.14,40.0,70.97,44.83,45.45,75.0
151,Régis,Guarani,1722,2,3,36.93,171,40.86,15.15,1.57,1,0.18,0,0.0,25,28.0,8.0,52.38,55.56,50.0,2.4,50.0,34.81,83.0,77.92,92.41,85.19,85.59,71.43,28.57,80.9,61.22,22.22,88.31
152,Léo Jabá,Estrela Amadora,1618,6,4,45.5,178,54.65,45.0,1.84,5,0.3,1,0.06,35,37.14,17.143,33.33,36.67,27.78,5.78,57.69,40.49,68.21,64.77,88.14,67.24,76.95,15.79,38.46,56.76,51.02,25.0,76.47
153,Welinton Júnior,Gangwon,1937,4,0,37.16,175,43.59,31.11,1.35,3,0.37,0,0.0,72,29.17,5.556,22.22,14.29,27.27,3.58,41.56,38.21,72.84,64.71,91.67,66.27,76.3,50.0,20.0,68.18,45.0,33.33,76.92
154,Guilherme Schettine,Ural,1597,6,3,37.7,184,61.67,46.09,1.58,6,0.39,2,0.11,45,51.11,13.333,31.25,33.33,30.0,2.99,45.28,24.86,73.06,50.62,84.62,78.7,77.78,45.16,27.27,50.0,48.28,16.67,60.47
155,Luan,Grêmio,437,1,0,35.96,180,57.14,20.0,1.24,1,0.13,1,0.21,5,60.0,20.0,66.67,100.0,50.0,1.65,37.5,29.79,88.44,71.43,100.0,94.12,89.42,71.43,50.0,91.3,50.0,25.0,76.19
156,Adailton,Tokyo,1575,7,5,35.43,176,45.0,31.52,2.34,7,0.4,2,0.11,60,31.67,11.667,27.27,22.58,100.0,6.23,46.79,32.2,68.03,50.7,90.12,69.11,74.17,42.22,33.33,49.25,52.54,19.05,75.0
157,Bruno,Pafos,3114,9,4,41.9,180,59.12,24.49,2.14,9,0.29,0,0.0,65,44.62,13.846,23.26,22.06,29.41,4.6,51.57,38.27,73.23,59.19,90.45,70.41,78.42,54.55,28.0,59.3,49.58,33.33,79.19
158,Edigar Junio,V-Varen Nagasaki,823,3,0,33.58,174,66.67,25.68,1.42,2,0.34,1,0.11,16,50.0,18.75,75.0,100.0,66.67,2.84,42.31,32.0,80.95,66.67,82.81,83.33,82.28,50.0,0.0,66.67,44.44,50.0,73.68
160,Gabriel Poveda,Avaí,1583,8,0,26.28,183,38.89,20.39,1.02,5,0.35,1,0.06,40,52.5,20.0,50.0,40.0,100.0,1.88,51.52,27.01,75.94,63.89,89.06,67.65,77.84,58.33,0.0,61.9,52.63,33.33,78.26
161,Guilherme,Fortaleza,2124,7,4,49.23,178,65.96,45.95,3.36,4,0.31,0,0.0,47,42.55,8.511,23.33,25.0,14.29,6.07,56.15,45.83,74.06,53.91,90.07,78.74,82.89,42.86,57.14,68.0,50.75,35.71,77.5
162,Bruno Sávio,Bolívar,1654,6,3,39.71,184,60.29,30.0,1.77,6,0.24,0,0.0,35,45.71,17.143,35.9,33.33,50.0,4.59,51.43,36.25,74.8,69.92,88.79,70.99,79.29,57.69,42.86,60.38,48.98,30.77,81.67
163,Everaldo,Bahia,3405,15,3,32.02,182,43.66,38.92,1.03,10,0.45,0,0.0,83,50.6,18.072,35.48,40.0,30.0,1.95,38.57,23.51,70.53,60.27,89.42,72.79,73.57,58.33,33.33,61.11,55.81,27.27,73.53
164,Jonathan Junior,Kotwica Kołobrzeg,1367,6,1,30.06,173,42.31,20.34,0.99,3,0.35,0,0.0,28,35.71,17.857,26.67,16.67,25.0,3.19,62.22,34.62,75.0,70.0,95.74,68.52,80.84,28.57,33.33,73.91,52.94,0.0,65.0
165,Luvannor,Sheriff,2294,9,3,33.87,182,44.74,34.62,1.53,7,0.42,0,0.0,61,36.07,14.754,38.71,37.5,42.86,2.59,46.97,28.7,79.02,70.37,89.54,81.08,81.18,88.24,33.33,75.51,54.76,36.84,85.53
166,J. Tagueu,Ha Noi,2008,9,0,34.88,178,50.0,37.19,1.18,9,0.39,5,0.25,48,39.58,18.75,20.0,0.0,50.0,0.94,57.89,28.28,82.01,63.83,87.37,83.75,82.73,100.0,60.0,64.0,70.59,50.0,76.19
167,Ricardinho,Levski Sofia,2524,13,2,28.89,181,47.67,22.92,1.46,12,0.33,2,0.07,57,43.86,22.807,20.0,40.0,10.0,0.96,55.56,31.45,68.48,58.0,85.44,65.91,71.01,62.5,33.33,61.9,45.83,37.5,59.26
168,Jorginho,Sport Recife,3889,11,5,46.98,180,53.88,42.86,2.34,11,0.31,0,0.0,80,35.0,13.75,28.26,28.57,28.57,2.29,49.49,51.06,79.06,70.81,90.59,83.19,84.85,56.63,47.22,71.1,57.26,36.96,82.81
169,Bruno Nazário,Chapecoense,3178,10,9,41.06,178,49.71,30.28,1.61,7,0.26,0,0.0,71,43.66,14.085,32.39,28.26,41.67,2.95,52.88,41.93,79.02,67.43,92.67,79.73,85.04,56.12,29.41,67.74,46.74,29.03,86.79
170,Vinícius,Sheriff,645,2,4,36.18,174,52.94,23.08,3.07,2,0.35,0,0.0,16,25.0,12.5,30.0,0.0,37.5,5.3,44.74,36.05,83.75,80.43,93.33,86.05,87.67,75.0,70.0,86.96,83.33,72.73,86.67
171,Luan Dias,Santos,1935,1,1,42.98,181,49.69,12.5,1.81,1,0.05,0,0.0,20,30.0,5.0,27.27,18.18,36.36,4.09,53.41,41.7,80.38,69.73,89.74,85.88,85.47,47.37,38.89,75.26,47.22,31.82,76.92
172,Leonardo Rocha,Radomiak Radom,2446,11,2,40.52,200,46.15,47.69,1.8,10,0.45,4,0.15,83,46.99,13.253,28.57,33.33,25.0,2.58,54.29,35.82,59.77,51.97,74.42,63.92,61.54,45.45,12.5,53.03,28.0,22.22,89.66
173,Gustavo,Shabab Al Ahli Dubai,457,1,0,37.86,178,57.89,36.36,2.56,1,0.1,0,0.0,10,20.0,10.0,0.0,0.0,0.0,4.73,37.5,36.07,87.28,76.6,100.0,91.25,88.41,75.0,20.0,92.86,50.0,33.33,84.62
174,Cauê,Benfica II,2037,7,1,32.5,180,52.56,28.18,1.59,7,0.25,0,0.0,31,58.06,22.581,25.0,50.0,0.0,2.3,50.0,28.69,78.88,52.56,91.25,75.74,80.39,71.43,21.43,56.82,38.1,14.29,56.76
175,Rodolfo,Grêmio Novorizontino,750,3,1,34.43,175,60.0,26.67,2.28,3,0.39,0,0.0,22,45.45,13.636,28.57,30.0,27.27,3.48,58.62,34.02,68.79,62.07,97.06,64.0,79.82,30.77,75.0,53.33,50.0,100.0,80.0
176,Rafa Silva,Jeonbuk Motors,1449,5,1,32.42,179,52.17,21.43,1.61,5,0.35,1,0.06,44,38.64,11.364,0.0,0.0,0.0,2.92,51.06,32.17,82.33,64.62,93.33,86.81,87.23,14.29,42.86,66.67,33.33,37.5,73.68
177,Ganso,Fluminense,4052,5,7,44.72,184,47.65,36.84,1.77,4,0.1,0,0.0,32,43.75,15.625,48.28,16.67,54.55,1.03,51.16,45.6,88.48,81.08,96.29,90.3,90.42,46.43,48.84,81.52,60.83,33.33,83.15
178,Gabriel Ramos,Bucheon 1995,1462,2,4,38.29,184,55.66,28.57,3.26,1,0.31,0,0.0,33,27.27,6.061,23.08,50.0,0.0,3.26,39.62,34.13,77.08,68.9,87.41,80.0,79.32,47.62,38.89,72.22,40.82,33.33,78.57
179,Iury Castilho,Vitória,1303,4,1,44.02,183,56.06,35.06,2.0,4,0.19,1,0.07,30,26.67,13.333,21.43,14.29,42.86,5.04,61.64,45.0,74.9,70.69,87.93,77.78,83.17,61.54,33.33,78.26,37.5,40.0,78.13
180,Renan Oliveira,Sarajevo,2743,18,3,29.69,186,41.18,29.58,1.05,14,0.51,2,0.07,86,51.16,20.93,55.56,61.54,50.0,1.48,42.22,29.95,75.14,57.14,86.36,80.7,76.45,74.29,44.44,53.45,50.0,27.27,78.95
181,Felipe Pires,Dnipro-1,1349,1,0,38.93,178,40.63,0.0,1.07,1,0.1,0,0.0,18,33.33,5.556,30.77,44.44,0.0,3.34,56.0,44.03,86.51,78.21,95.28,91.22,89.0,50.0,0.0,90.0,52.63,33.33,71.74
182,Vitor Gabriel,Gangwon,3167,13,7,37.34,184,49.09,33.61,1.1,11,0.41,5,0.14,82,41.46,14.634,19.23,23.08,15.38,3.08,57.01,39.26,66.47,48.05,86.49,61.17,71.15,37.5,25.0,51.43,26.09,30.0,57.14
183,Ronaldo,Levski Sofia,3627,7,1,42.19,177,64.37,38.56,3.0,7,0.22,0,0.0,60,38.33,11.667,21.67,0.0,22.41,5.32,49.28,34.3,74.9,60.84,91.24,70.59,80.77,48.0,6.67,59.65,46.67,17.65,77.22
184,Tiago Alves,Fagiano Okayama,1485,6,1,27.29,181,35.59,21.35,2.12,6,0.42,0,0.0,56,32.14,10.714,20.0,14.29,25.0,4.79,37.97,30.53,58.24,44.0,82.86,58.33,62.18,50.0,33.33,36.36,52.38,75.0,52.38
185,Élvis,Ponte Preta,3028,4,8,38.75,175,47.47,24.44,0.71,3,0.26,0,0.0,47,34.04,8.511,54.0,56.0,50.0,1.55,57.69,36.79,79.79,65.63,93.65,89.2,85.11,64.21,53.66,73.28,62.5,45.59,89.52
186,Vinicius Mingotti,Bahia,2069,10,3,37.99,182,60.66,26.97,1.2,8,0.25,0,0.0,33,51.52,27.273,14.29,20.0,0.0,1.15,45.83,33.33,76.98,62.75,91.86,78.08,79.13,50.0,50.0,59.09,62.5,66.67,62.07
187,Fernando Karanga,Jinan Xingzhou,1370,6,1,37.86,189,59.46,36.28,1.18,5,0.59,3,0.2,40,60.0,15.0,20.0,25.0,18.18,5.78,40.91,34.67,68.14,50.0,80.0,74.03,71.21,81.82,20.0,60.87,47.37,20.0,82.76
188,Miguel Ferreira,Bashundhara Kings,1282,9,1,58.74,188,51.43,58.82,0.98,8,0.38,1,0.08,50,46.0,18.0,33.33,0.0,40.0,5.55,72.06,61.29,77.47,58.75,89.36,89.83,82.73,38.78,36.67,66.1,47.54,35.85,86.96
189,Maurides,St. Pauli,999,3,1,41.84,189,52.63,57.64,2.07,3,0.39,0,0.0,33,39.39,9.091,0.0,0.0,0.0,1.08,66.67,23.28,68.32,56.0,82.86,77.33,67.43,80.0,0.0,65.38,55.56,33.33,78.26
190,Neílton,Criciúma,430,2,1,41.44,166,54.55,12.5,1.67,1,0.34,0,0.0,8,62.5,25.0,22.22,33.33,16.67,4.19,30.0,33.96,77.09,64.15,91.18,78.43,83.77,43.75,100.0,66.67,44.44,57.14,72.0
191,João Carlos,Estoril,679,2,1,26.27,187,26.92,26.67,2.07,2,0.47,1,0.14,23,43.48,8.696,25.0,33.33,0.0,3.58,38.46,28.89,68.81,45.83,95.83,68.57,70.59,60.0,66.67,36.36,37.5,50.0,60.0
192,João Paulo,CRB,3571,6,2,42.68,169,51.05,24.64,1.42,5,0.22,1,0.03,83,39.76,6.024,29.41,39.13,20.0,3.43,51.54,43.56,83.39,75.07,93.6,84.3,87.67,63.0,44.44,76.4,54.87,33.33,87.17
193,Guilherme Dellatorre,Montedio Yamagata,1095,3,2,30.41,181,47.37,29.87,2.14,3,0.53,1,0.08,41,34.15,7.317,11.11,0.0,16.67,1.89,52.17,35.44,73.48,59.57,87.27,68.57,80.86,10.0,100.0,38.1,42.86,80.0,60.87
194,Lukian,Avispa Fukuoka,2857,5,3,38.59,183,50.88,31.0,1.92,3,0.23,1,0.03,50,40.0,10.0,21.95,22.22,19.35,3.47,50.91,38.58,73.13,55.56,86.26,72.37,78.31,61.9,14.29,65.91,46.15,14.29,66.67
195,Wesley da Silva,Qingdao West Coast,2169,4,3,33.53,188,59.46,33.74,1.99,4,0.2,2,0.08,34,35.29,11.765,38.46,50.0,36.36,2.74,42.42,30.36,73.05,52.31,92.05,70.0,76.06,33.33,0.0,60.0,61.54,0.0,70.97
196,Willyan,Seoul,1639,9,3,44.05,170,67.92,25.0,1.54,9,0.25,1,0.05,42,35.71,21.429,40.0,28.57,50.0,5.88,55.14,38.49,76.72,60.87,93.2,72.73,81.13,48.0,36.36,56.25,52.5,23.08,77.36
