,Jogador,Equipe,Minutos jogados:,Golos,Assistências,"Duelos ganhos, %",Altura,"Duelos defensivos ganhos, %","Duelos aéreos ganhos, %",Interseções/90,Golos sem ser por penálti,Golos esperados/90,Golos de cabeça,Golos de cabeça/90,Remate,"Remates à baliza, %","Golos marcados, %","Cruzamentos certos, %","Cruzamentos precisos do flanco esquerdo, %","Cruzamentos precisos do flanco direito, %",Dribles/90,"Dribles com sucesso, %","Duelos ofensivos ganhos, %","Passes certos, %","Passes para a frente certos, %","Passes para trás certos, %","Passes laterais certos, %","Passes curtos / médios precisos, %","Passes longos certos, %","Passes inteligentes certos, %","Passes certos para terço final, %","Passes precisos para a área de penálti, %","Passes em profundidade certos, %","Passes progressivos certos, %"
22,Brenner,Udinese,984,4,0,36.67,175,62.5,22.22,2.01,4,0.35,0,0.0,28,50.0,14.286,100.0,100.0,100.0,2.2,58.33,36.0,86.22,72.22,91.46,89.57,86.39,81.82,50.0,77.78,66.67,40.0,78.85
23,Paulinho,Atlético Mineiro,4062,22,5,38.65,177,57.14,24.24,1.85,22,0.47,6,0.14,112,52.68,19.643,20.45,25.81,8.33,3.17,52.55,35.74,83.38,77.14,91.19,80.98,86.21,70.0,30.0,83.12,64.41,22.22,66.67
24,Matheus Nascimento,Botafogo,985,3,1,36.91,182,57.14,32.81,1.15,3,0.23,0,0.0,17,52.94,17.647,20.0,0.0,25.0,0.86,66.67,33.75,72.88,72.0,75.0,70.0,75.22,0.0,50.0,83.33,44.44,0.0,71.43
25,Willian José,Real Betis,1788,6,1,34.1,189,54.55,29.27,1.56,5,0.27,2,0.1,33,45.45,18.182,18.18,66.67,0.0,1.06,47.62,25.35,81.52,56.1,91.18,85.71,84.1,57.69,55.56,62.22,69.23,57.14,72.22
26,João Pedro,Grêmio,1638,4,0,33.91,184,55.56,38.1,1.23,4,0.22,0,0.0,22,40.91,18.182,37.5,40.0,0.0,2.18,38.46,28.24,80.17,65.22,95.31,75.71,82.3,73.33,25.0,62.96,61.11,0.0,81.82
27,João Pedro,Al Taawon,2797,18,3,36.11,182,50.82,47.19,1.9,15,0.59,5,0.16,106,42.45,16.981,14.29,40.0,0.0,3.22,51.0,32.16,80.47,67.78,84.8,86.55,82.82,64.29,42.86,72.09,56.67,50.0,68.42
28,Pedro Raul,Toluca,3853,17,4,35.09,192,57.01,39.47,1.57,16,0.49,5,0.12,123,43.09,13.821,29.41,40.0,14.29,1.71,46.58,32.21,73.59,59.84,87.76,75.74,75.76,18.18,40.0,65.33,51.85,50.0,65.31
29,C. Lucas,Al Sharjah,3101,15,2,36.64,173,47.96,29.87,2.09,8,0.37,0,0.0,71,39.44,19.718,30.14,30.0,31.25,3.98,45.11,35.94,78.61,71.7,90.88,77.95,82.73,64.29,37.21,69.54,56.12,38.78,87.08
30,Thiago Andrade,Athletico Paranaense,692,1,0,35.33,180,53.49,27.27,1.25,1,0.14,0,0.0,10,70.0,10.0,50.0,100.0,33.33,2.37,58.82,29.87,84.87,63.64,90.0,84.44,85.81,100.0,100.0,83.33,75.0,100.0,68.75
31,Alan Patrick,Internacional,4698,14,6,41.15,177,50.51,20.27,1.63,9,0.31,1,0.02,104,36.54,12.5,33.33,31.25,35.29,4.0,58.25,43.11,84.18,70.12,94.23,90.73,86.57,55.29,29.69,78.51,59.15,30.99,81.27
