,Jogador,Equipa,Posição,Idade,Valor de mercado,Contrato termina,Partidas jogadas,Minutos jogados:,Golos,Golos esperados,Naturalidade,País de nacionalidade,Pé,Altura,Peso,Emprestado
122,Lucas Possignolo,Zhejiang Professional,LCB,29,800000,2023-12-31,39,3175,2,2.2,Brazil,Brazil,direito,188,81,sim
123,Luiz Felipe,Atlético GO,"RCB, LCB",30,800000,2024-12-31,18,1672,1,1.48,Brazil,Brazil,direito,187,79,sim
124,Cacá,Athletico Paranaense,"RCB, LCB",24,800000,2025-01-31,24,2317,2,1.85,Brazil,Brazil,direito,187,77,sim
125,Dodô,Santos,"LB, LCB",31,800000,2023-12-31,34,2888,0,0.77,Brazil,"Brazil, Portugal",esquerdo,177,80,sim
126,Messias,Santos,"RCB, LCB",28,800000,2025-12-31,35,3359,1,1.55,Brazil,Brazil,direito,190,87,sim
127,João Basso,Santos,RCB,26,800000,2024-06-30,42,3945,1,3.15,Brazil,"Brazil, Italy",direito,187,74,sim
128,Tiago Cóser,Benfica U23,"RCB, LCB",19,800000,2026-06-30,17,1147,2,0.53,Brazil,"Brazil, Italy",direito,187,81,sim
129,Ramon Menezes,CRB,LCB,28,800000,2024-12-31,32,2854,0,0.53,Brazil,Brazil,direito,186,81,sim
130,Marcelo,Western Sydney Wanderers,"LCB, RCB",36,800000,2024-06-30,25,2164,2,2.24,Brazil,Brazil,direito,191,85,sim
132,Lucas Freitas,Chapecoense,LCB,22,800000,2025-12-31,26,2409,0,1.04,Brazil,"Brazil, Portugal",esquerdo,184,76,sim
133,Eduardo,Yokohama F. Marinos,LCB,30,800000,2025-01-31,33,2891,0,0.92,Brazil,Brazil,esquerdo,184,84,sim
134,Thiago Heleno,Athletico Paranaense,"LCB, CB",35,800000,2024-12-31,51,4988,0,1.66,Brazil,Brazil,direito,185,84,sim
135,Jadson,Shandong Taishan,RCB,31,800000,2024-12-31,34,2771,4,4.3,Brazil,Brazil,direito,189,81,sim
136,Anderson,Vizela,"LCB, RCB, CB",28,800000,2024-06-30,32,3027,1,1.91,Brazil,Brazil,direito,186,77,sim
137,Gabriel Lacerda,Sydney,"LCB, RCB",24,800000,2024-12-31,27,2274,0,0.74,Brazil,Brazil,direito,187,74,sim
139,Rezende,Bahia,"LDMF, LCB, LCMF",28,750000,2023-12-31,47,4086,3,1.89,Brazil,Brazil,esquerdo,186,84,sim
140,Bernardo Schappo,Fortaleza,LCB,24,750000,2026-12-31,14,1279,0,0.42,Brazil,"Brazil, Luxembourg",esquerdo,191,85,sim
141,Bressan,Nantong Zhiyun,"LCB, RCB, CB",30,750000,2024-12-31,29,2735,0,0.55,Brazil,"Brazil, Italy",direito,185,79,sim
142,Pablo Santos,Al Raed,LCB,31,700000,2024-06-30,10,921,1,0.93,Brazil,Brazil,esquerdo,188,77,sim
143,Danilo Boza,Juventude,"RCB, LCB",25,700000,2025-12-31,47,4784,2,4.11,Brazil,Brazil,direito,184,76,sim
144,Luan Patrick,Red Bull Bragantino,"RCB, LCB",21,700000,2024-12-31,26,2055,0,0.7,Brazil,Brazil,direito,190,80,sim
146,Neris,Cruzeiro,RCB,31,700000,2024-12-31,21,1844,0,0.78,Brazil,Brazil,direito,190,88,sim
147,Patrick William,Rio Ave,"LCB, RCB",26,700000,2025-06-30,30,2264,2,1.41,Brazil,Brazil,direito,185,78,sim
148,Héliton,CSKA 1948 Sofia,LCB,27,700000,2024-06-30,34,3349,4,4.52,Brazil,Brazil,esquerdo,195,89,sim
151,Dante,Nice,LCB,40,700000,2024-06-30,40,3845,1,2.84,Brazil,Brazil,esquerdo,188,89,sim
153,Joaquim,Santos,"RCB, LCB",24,700000,2026-12-31,36,3480,1,2.92,Brazil,Brazil,direito,190,82,sim
154,Michel,Palmeiras U20,"LCB, RCB",20,700000,2026-12-31,21,1607,1,0.6,Brazil,Brazil,direito,188,75,sim
155,Paulo,Grêmio Novorizontino,"LCB, RCB",21,700000,2026-06-30,9,456,0,0.05,Brazil,Brazil,esquerdo,188,84,sim
156,César Martins,Grêmio Novorizontino,"CB, LCB",30,675000,2025-12-10,27,2467,5,5.69,Brazil,Brazil,direito,191,88,sim
157,Diego,Kashiwa Reysol,"LB, LCB",28,650000,2025-01-31,13,1108,1,1.0,Brazil,Brazil,esquerdo,183,77,sim
158,Douglas Grolli,Avispa Fukuoka,"RCB, LCB",34,650000,2024-01-31,34,3143,2,2.79,Brazil,"Brazil, Italy",direito,189,84,sim
159,Alex Nascimento,Santos,LCB,24,600000,2024-12-31,8,705,0,0.24,Brazil,Brazil,esquerdo,189,86,sim
160,F. Alves,Brøndby,"CB, RCB",23,600000,2026-06-30,22,1911,0,1.43,Denmark,"Denmark, Brazil",direito,195,78,sim
161,Léo Andrade,Gardner-Webb Bulldogs,"LCB, CB",25,600000,2025-06-30,27,2717,2,2.07,Brazil,Brazil,esquerdo,190,82,sim
162,Luccas Claro,Eyüpspor,LCB,32,600000,2024-06-30,31,3018,1,1.84,Brazil,Brazil,direito,182,83,sim
163,Philipe Sampaio,Botafogo,"RCB, LCB",28,600000,2024-12-31,21,1370,1,1.27,Brazil,Brazil,direito,191,89,sim
164,Lucas Galvão,Austria Wien,"CB, LCB",32,600000,2025-06-30,17,1587,0,0.79,Brazil,Brazil,esquerdo,182,78,sim
165,Bruno Melo,Goiás,LCB,31,600000,2023-12-31,50,4952,6,4.5,Brazil,Brazil,esquerdo,186,78,sim
167,Anderson,Austria Lustenau,"RWB, RCB, RAMF",25,600000,2024-06-30,32,2528,1,3.31,Brazil,Brazil,direito,184,74,sim
168,Rafael Pereira,Khorfakkan,"RCB, LCB",23,600000,2025-06-30,30,2262,0,1.35,Brazil,Brazil,esquerdo,189,80,sim
169,David Luiz,Flamengo,"LCB, RCB, CB",36,600000,2023-12-31,40,3655,1,1.72,Brazil,"Brazil, Portugal",direito,189,84,sim
171,Rubén Alves,Racing Santander,LCB,29,600000,2024-06-30,33,3041,0,1.28,Spain,"Spain, Brazil",esquerdo,184,74,sim
172,Miranda,Vasco da Gama,"RCB, RB",23,600000,2023-12-31,19,1359,1,2.07,Brazil,Brazil,direito,181,73,sim
175,João Marcelo,Cruzeiro,RCB,23,550000,2027-06-30,19,1795,6,2.32,Brazil,Brazil,direito,190,84,sim
181,Da Silva,Red Bull Bragantino,"RCB, LCB, CB",22,500000,2024-12-31,7,538,0,0.28,Brazil,Brazil,direito,192,82,sim
182,Rodrigo Moledo,Internacional,"RCB, LCB",36,500000,2023-12-31,27,2055,1,1.75,Brazil,Brazil,direito,188,84,sim
183,Gabriel Pereira,Gil Vicente,"RCB, LCB",23,500000,2026-06-30,25,2266,1,1.34,Brazil,Brazil,direito,188,86,sim
184,Bruno Uvini,Grêmio,"RCB, LCB",32,500000,2023-12-31,29,2476,2,2.6,Brazil,"Brazil, Italy",direito,188,85,sim
185,Camutanga,Vitória,"RCB, LCB, CB",30,500000,2023-11-30,46,4272,3,2.38,Brazil,Brazil,direito,189,80,sim
186,Matheus Costa,Marítimo,"RCB, LCB",28,500000,2026-06-30,24,1840,2,3.42,Brazil,"Brazil, Portugal",direito,188,82,sim
187,Mansur,Estrela Amadora,LCB,30,500000,2025-06-30,24,2239,1,1.3,Brazil,Brazil,esquerdo,181,74,sim
188,Emerson Santos,Atlético GO,"LCB, RCB, RB",28,500000,2025-01-01,26,1626,0,0.54,Brazil,Brazil,direito,184,75,sim
189,Márcio Silva,Botafogo SP,LCB,22,500000,2025-08-31,35,3243,0,1.86,Brazil,Brazil,esquerdo,192,85,sim
190,Roberto,Avaí,"RCB, LCB",25,500000,2023-11-30,30,2598,0,1.04,Brazil,Brazil,direito,188,88,sim
191,Edu,Goiás,"RCB, LCB",23,500000,2024-06-30,20,1183,0,0.59,Brazil,Brazil,direito,185,88,sim
192,Matheus Pereira,Oita Trinita,RCB,26,500000,2025-01-31,30,2689,2,2.16,Brazil,Brazil,direito,184,83,sim
195,Maicon,Vasco da Gama,"RCB, LCB",35,500000,2023-12-31,25,2093,0,1.22,Brazil,"Brazil, Portugal",direito,191,80,sim
196,Rafael Thyere,Sport Recife,RCB,30,500000,2024-12-31,54,5416,5,3.89,Brazil,Brazil,direito,189,86,sim
199,Paulo Ricardo,Al Hazem,RCB,29,500000,2023-12-31,23,2288,0,0.8,Brazil,Brazil,direito,186,80,sim
201,Marllon,Cuiabá,RCB,31,500000,2023-12-31,37,3797,2,2.81,Brazil,Brazil,direito,186,75,sim
202,Artur,Ponte Preta,"LB, LCB",29,500000,2023-11-30,48,4765,0,1.93,Brazil,Brazil,esquerdo,178,75,sim
203,Vitor Mendes,Fluminense,"RCB, LCB",24,450000,2024-12-31,13,798,1,0.7,Brazil,Brazil,direito,186,75,sim
204,Léo Borges,Pogoń Szczecin,"LB, LCB",22,450000,2025-06-30,19,754,0,0.16,Brazil,Brazil,esquerdo,179,73,sim
205,Marcelo Alves,Sochi,"CB, LCB, RCB",25,450000,2024-06-30,38,2987,3,1.34,Brazil,Brazil,direito,192,88,sim
206,Clayton,AVS ,"RCB, LCB, RB",23,450000,2024-06-30,40,3725,3,2.61,Brazil,Brazil,direito,187,81,sim
208,Pedro Barcelos,Mafra,LCB,27,425000,2024-06-05,29,2315,0,0.22,Brazil,Brazil,esquerdo,188,80,sim
209,Valdo,V-Varen Nagasaki,RCB,31,400000,2025-01-31,13,1231,0,0.99,Brazil,Brazil,direito,183,77,sim
210,Lucas Mezenga,Tondela,"RCB, LCB",21,400000,2024-12-31,3,216,0,0.04,Brazil,Brazil,direito,185,78,sim
211,Maurício Antônio,Coritiba,"LCB, CB",31,400000,2024-06-30,19,1852,0,0.29,Brazil,"Brazil, Portugal",direito,183,82,sim
212,Tiago Pagnussat,Ceará,RCB,33,400000,2024-12-31,39,3806,2,2.7,Brazil,"Brazil, Italy",direito,191,88,sim
213,Luiz Otávio,Ceará,"LCB, RCB",35,400000,2023-12-31,29,2790,3,1.24,Brazil,Brazil,direito,190,84,sim
215,R. Hillen,De Graafschap,LCB,20,400000,2024-06-30,37,3444,2,3.56,Netherlands,"Netherlands, Brazil",esquerdo,187,74,sim
216,Chico,Sport Recife,LCB,25,400000,2024-12-31,19,1408,0,0.52,Brazil,Brazil,esquerdo,188,80,sim
217,Lucão,Guarani,"LCB, RCB",27,400000,2023-11-30,48,4786,0,1.37,Brazil,Brazil,direito,187,80,sim
218,Heron,Atlético GO,"LCB, LB",23,400000,2024-12-31,35,2939,0,0.84,Brazil,Brazil,esquerdo,186,78,sim
220,Thiago Santos,Fluminense,"LDMF, RCB, CB",34,400000,2024-12-31,25,1004,0,0.55,Brazil,Brazil,direito,181,78,sim
222,Rodrigo Freitas,Chapecoense,"LCB, RCB",25,400000,2023-11-30,32,3168,2,1.0,Brazil,Brazil,direito,189,82,sim
225,Manoel,Fluminense,"RCB, LCB",33,400000,2024-12-31,19,1441,0,0.57,Brazil,Brazil,direito,181,82,sim
226,Renan,Shabab Al Ahli Dubai,"LCB, LB",21,400000,2025-12-31,19,1795,3,1.9,Brazil,Brazil,esquerdo,184,69,sim
228,Rafael Santos,Moreirense,LCB,25,375000,2025-06-30,14,1203,1,0.38,Brazil,Brazil,esquerdo,190,85,sim
229,Wellington,Avaí,"RCB, DMF, LCB",28,350000,2023-12-31,12,1119,0,0.13,Brazil,Brazil,direito,187,90,sim
234,Mendes,JEF United,LCB,28,350000,2024-01-31,5,317,1,0.2,Brazil,Brazil,esquerdo,190,83,sim
235,Victor,BG Pathum United FC,CB,33,350000,2024-05-31,29,2843,10,7.04,Brazil,Brazil,direito,0,0,sim
236,Eduardo Thuram,Aparecidense,LCB,26,350000,2023-12-31,10,618,0,0.41,Brazil,Brazil,esquerdo,189,84,sim
239,Henrique Trevisan,Tokyo,"LCB, CB",26,350000,2024-01-31,28,2564,2,3.7,Brazil,"Brazil, Italy",esquerdo,185,78,sim
240,Filipe Luis,Flamengo,"LB, LCB",38,350000,2023-12-31,17,1047,0,0.07,Brazil,"Brazil, Poland",esquerdo,182,74,sim
242,Romércio,Juventude,"RCB, CB, LCB",26,350000,2023-12-31,28,2232,1,0.93,Brazil,Brazil,direito,185,78,sim
243,Cláudio Falcão,Farense,"DMF, RCMF, RCB",29,350000,2024-06-30,32,2664,5,2.59,Brazil,"Brazil, Portugal",direito,187,79,sim
244,Mateus Brunetti,DAC,LCB,23,350000,2025-06-30,24,1829,1,1.24,Brazil,"Brazil, Italy",esquerdo,182,77,sim
245,Derlan,Oita Trinita,LCB,27,350000,2025-01-31,31,2518,0,2.61,Brazil,Brazil,esquerdo,187,80,sim
246,Jordan,Zorya,"RCB, LCB",24,350000,2024-12-31,32,2950,1,2.38,Brazil,Brazil,direito,190,81,sim
247,Raphael,Radomiak Radom,"RCB, CB",33,350000,2024-06-30,27,2398,1,2.12,Brazil,"Brazil, Italy",direito,190,84,sim
248,Thiago Oliveira,Ponte Preta,"LCB, RCB",21,350000,2025-12-31,11,1034,1,0.83,Brazil,Brazil,direito,183,77,sim
250,L. Monzón,Danubio,LCB,22,325000,2023-12-31,21,1883,0,0.18,Brazil,"Brazil, Uruguay",esquerdo,184,78,sim
251,Cleberson,Madura United,"LCB, RCB",31,325000,2024-01-20,36,3406,0,3.2,Brazil,Brazil,direito,185,75,sim
252,Alan Costa,Avaí,"RCB, LCB",33,325000,2023-12-31,32,2601,1,1.71,Brazil,Brazil,direito,194,82,sim
255,Cléber Reis,USAC,"RCB, CB",32,300000,2024-01-07,19,1745,1,1.08,Brazil,Brazil,direito,187,94,sim
258,Renato Augusto,Shimizu S-Pulse,"RDMF, RCB, RCMF",31,300000,2024-01-31,3,164,0,0.15,Brazil,Brazil,direito,185,81,sim
261,Ricardo Silva,América Mineiro,"RCB, LCB",31,300000,2023-12-31,32,2908,1,1.4,Brazil,Brazil,direito,190,84,sim
263,Edimar,CRB,"LB, LCB",37,300000,2023-12-31,18,1165,0,0.24,Brazil,Brazil,esquerdo,183,74,sim
264,L. Felipe,West Florida Argos,"RCB, LCB",22,300000,2024-11-30,7,382,1,0.72,Brazil,Brazil,direito,186,79,sim
265,Lucas Gazal,Atlético GO,RCB,24,300000,2024-06-30,39,3718,1,1.99,Brazil,Brazil,direito,187,86,sim
266,Wanderson,América Mineiro,"RCB, LCB, CB",32,300000,2024-12-31,17,1401,0,0.35,Brazil,Brazil,direito,186,83,sim
268,Ítalo,Ural,LCB,21,300000,2026-06-30,25,2167,0,1.17,Brazil,Brazil,esquerdo,191,78,sim
269,Geromel,Grêmio,"RCB, CB",38,300000,2023-12-31,6,475,0,0.0,Brazil,"Brazil, Italy",direito,190,84,sim
270,Zé Marcos,Juventude,LCB,25,300000,2023-12-31,27,2469,0,2.43,Brazil,Brazil,esquerdo,188,77,sim
271,Danilo Avelar,América Mineiro,"LB, LCB",34,300000,2023-12-31,40,2843,4,5.12,Brazil,"Brazil, Italy",esquerdo,184,79,sim
273,Thalisson,Coritiba,RCB,21,300000,2025-12-31,3,315,0,0.0,Brazil,Brazil,direito,190,79,sim
276,Sidimar,Goiás,"LCB, RCB",31,300000,2024-12-31,34,2566,0,0.83,Brazil,Brazil,direito,186,88,sim
278,Gabriel Mentz,Gzira United,LCB,25,300000,2026-06-30,21,1899,3,2.82,Brazil,Brazil,direito,185,0,sim
280,Luciano Castán,Cruzeiro,LCB,34,300000,2023-12-31,45,4540,1,1.71,Brazil,"Brazil, Italy",esquerdo,187,80,sim
281,Anderson Conceição,CRB,LCB,34,300000,2024-12-31,23,2025,1,0.71,Brazil,Brazil,esquerdo,188,75,sim
282,Fabio Alemão,CRB,"RCB, LCB",27,300000,2023-12-31,41,3949,4,2.93,Brazil,Brazil,direito,184,87,sim
283,Renan Alves,Barito Putera,"RCB, CB",30,300000,2023-12-31,39,3813,7,7.11,Brazil,Brazil,direito,183,80,sim
285,Alan,Lokomotiv Sofia 1929,"RCB, LCB",25,300000,2024-06-30,29,2674,2,1.66,Brazil,Brazil,direito,191,78,sim
287,Eduardo Brock,Cerro Porteño,LCB,32,300000,2023-12-31,35,2850,0,1.52,Brazil,"Brazil, Italy",esquerdo,186,89,sim
289,Klaus,RWD Molenbeek,"CB, RCB",29,300000,2024-06-30,10,935,0,0.25,Brazil,Brazil,direito,187,79,sim
290,Fábio Sanches,Ponte Preta,"LCB, RCB",32,300000,2023-11-30,33,3000,0,1.56,Brazil,Brazil,direito,186,85,sim
291,Gustavo Alemão,Al Nasr,"LCB, RCB",23,300000,2023-12-29,15,1277,1,1.88,Brazil,Brazil,direito,186,0,sim
293,Renan,Renofa Yamaguchi,"LCB, CB",27,275000,2024-01-31,27,2568,1,1.03,Brazil,Brazil,esquerdo,183,80,sim
294,Jaime,Persis Solo,"RCB, CB, LCB",33,275000,2024-05-31,31,2849,2,1.84,Brazil,Brazil,direito,185,84,sim
299,Bueno,Kashiwa Reysol,RCB,28,250000,2025-01-31,1,27,0,0.0,Brazil,Brazil,direito,182,79,sim
300,Guilherme Café,Marília,RCB,26,250000,2024-04-30,18,1559,0,0.05,Brazil,Brazil,direito,187,80,sim
303,Ronaldo Alves,Ferroviária,"RCB, LCB",34,250000,2023-12-31,9,811,0,0.51,Brazil,Brazil,direito,187,89,sim
304,Gilvan,América RN,"LCB, CB",33,250000,2023-12-31,14,880,2,0.89,Brazil,Brazil,esquerdo,188,77,sim
305,Barbosa,Ilioupoli,"CB, RCB",24,250000,2025-06-30,17,1595,1,0.94,Brazil,Brazil,direito,193,74,sim
307,Marcondes,Vila Nova,"RCB, LCB",30,250000,2023-11-30,17,1053,0,0.64,Brazil,Brazil,direito,184,83,sim
310,Nilson Júnior,Sepahan,LCB,32,250000,2024-06-30,2,138,0,0.0,Brazil,Brazil,esquerdo,190,73,sim
312,Éverton Alemão,Brusque,RCB,30,250000,2023-11-30,33,3080,2,1.98,Brazil,Brazil,direito,185,80,sim
314,Thalisson Kelven,Mirassol,RCB,25,250000,2024-05-31,38,3745,2,1.68,Brazil,Brazil,direito,184,79,sim
319,Brendon Lucas,Hồ Chí Minh City,"RCB, LCB",28,250000,2024-06-30,19,1642,0,1.79,Brazil,Brazil,direito,188,80,sim
320,Sávio,Rio Ave,"LCB, LB, LWB",28,250000,2025-06-30,23,785,0,0.05,Brazil,Brazil,esquerdo,173,69,sim
323,P. Magalhaes,Deportes Iquique,"RCB, RB",33,250000,2023-12-31,4,348,0,0.0,Brazil,"Brazil, Chile",direito,177,75,sim
325,Rafael Donato,Vila Nova,RCB,34,250000,2023-12-31,46,4444,3,4.85,Brazil,Brazil,direito,193,100,sim
327,Frazan,Ituano,RCB,27,250000,2023-12-31,17,1368,0,0.39,Brazil,Brazil,direito,188,79,sim
