,Jogador,Equipa,Posição,Idade,Valor de mercado,Contrato termina,Partidas jogadas,Minutos jogados:,Golos,Golos esperados,Naturalidade,País de nacionalidade,Pé,Altura,Peso,Emprestado
431,Wálber,Guarani,"RCB, LCB",26,150000,2024-12-31,29,2196,0,0.26,Brazil,Brazil,direito,186,80,sim
435,Bruno Oliveira,Velež,"LCB, LB",27,150000,2024-05-31,21,1646,0,0.29,Brazil,Brazil,esquerdo,186,0,sim
438,Anderson,Persik Kediri,RCB,30,150000,2024-06-30,29,2729,2,2.89,Brazil,Brazil,direito,0,0,sim
440,Saimon,CRB,RCB,32,150000,2023-12-31,22,1612,0,0.31,Brazil,Brazil,direito,185,79,sim
441,Rayan,Criciúma,LCB,33,150000,2023-12-31,27,2364,0,1.92,Brazil,Brazil,esquerdo,185,75,sim
443,Cleiton,Flamengo,LCB,20,150000,2024-12-31,18,1779,0,1.19,Brazil,Brazil,esquerdo,188,75,sim
444,Alisson Cassiano,Sport Recife,"RCB, LCB",29,150000,2023-11-30,23,1845,1,1.54,Brazil,Brazil,direito,187,83,sim
446,Isaque Gavioli,Leixões,RCB,22,125000,2025-06-30,5,345,0,0.0,Brazil,Brazil,direito,189,83,sim
451,Walisson Maia,Criciúma,LCB,32,125000,2023-11-30,36,3229,0,0.77,Brazil,Brazil,direito,187,81,sim
453,Allyson,Cuiabá,"RCB, LCB",33,125000,2024-12-31,17,1375,0,0.61,Brazil,Brazil,direito,184,78,sim
463,Henrique Vermudt,Botafogo,RCB,24,100000,2024-12-31,1,65,0,0.0,Brazil,Brazil,direito,180,76,sim
469,Felipe Camargo,Avaí,"LB, LCB",24,100000,2023-12-31,4,123,0,0.0,Brazil,Brazil,esquerdo,188,74,sim
472,Gustavo Rissi,Miami,"LWB, LB, LCB",25,100000,2023-11-30,13,774,0,0.24,Brazil,Brazil,direito,184,72,sim
474,Ulisses,Nacional,RCB,24,100000,2024-12-31,6,480,1,0.89,Brazil,Brazil,direito,186,80,sim
475,Derick,Pouso Alegre,RCB,21,100000,2026-03-31,7,460,0,0.66,Brazil,Brazil,direito,193,84,sim
476,Zé Vitor,Tombense,LCB,22,100000,2023-12-31,18,1083,2,0.73,Brazil,Brazil,esquerdo,189,86,sim
481,Reverson,Grêmio Novorizontino,"LWB, LCB, LB",26,100000,2023-12-31,36,2912,2,1.85,Brazil,Brazil,esquerdo,175,71,sim
482,Matheus Mega,CRB,"RCB, LCB, RB",24,100000,2023-12-31,8,649,0,0.49,Brazil,Brazil,direito,188,81,sim
484,Felipe Silva,Gil Vicente,LCB,21,100000,2025-12-31,27,2622,2,1.94,Brazil,Brazil,esquerdo,190,78,sim
485,Hélder,Criciúma,"LB, LCB",35,100000,2023-11-30,29,1892,1,0.24,Brazil,Brazil,esquerdo,179,81,sim
486,Matheus Mancini,Criciúma,LCB,29,100000,2023-12-31,18,1384,0,0.25,Brazil,"Brazil, Italy",esquerdo,190,75,sim
487,Venicio,Shijiazhuang Gongfu,"LCB, RCB",29,100000,2023-12-31,32,2450,3,1.81,Brazil,Brazil,direito,188,83,sim
488,Pedro Carrerette,Botafogo PB,LCB,24,100000,2023-11-30,25,2463,2,1.34,Brazil,Brazil,direito,188,88,sim
489,Joécio,Náutico,LCB,37,100000,2023-11-30,20,1736,2,1.92,Brazil,Brazil,direito,189,70,sim
490,Renzo,Sport Recife,RCB,22,100000,2025-12-31,4,318,1,0.04,Brazil,Brazil,esquerdo,184,78,sim
491,Bruno Silva,Grêmio Novorizontino,"CB, LCMF, RCMF",35,100000,2023-11-30,11,696,0,0.43,Brazil,Brazil,direito,183,82,sim
492,Raphael Rodrigues,Confiança,RCB,24,100000,2024-12-31,14,1251,0,0.26,Brazil,Brazil,direito,183,69,sim
493,Xandão,Varzim,LCB,33,100000,2023-11-30,29,2791,2,1.32,Brazil,Brazil,esquerdo,189,82,sim
495,Y. Victor,Kelantan United,"RCB, CB",28,100000,2023-11-30,16,1561,1,2.13,Brazil,Brazil,direito,189,82,sim
498,Alíx Vinícius,Atlético GO,"RCB, LCB",23,100000,2023-11-30,29,2555,2,3.41,Brazil,Brazil,direito,195,76,sim
