,Jogador,Equipa,Posição,Idade,Valor de mercado,Contrato termina,Partidas jogadas,Minutos jogados:,Golos,Golos esperados,Naturalidade,País de nacionalidade,Pé,Altura,Peso,Emprestado
397,Léo Rafael,Ceará,"CF, RW, RCMF",22,100000,2024-12-31,17,634,1,1.41,Brazil,Brazil,direito,181,73,sim
399,Gustavo Nescau,Albirex Niigata,CF,23,100000,2025-01-31,12,562,1,1.25,Brazil,Brazil,direito,189,90,sim
401,Gabriel Taliari,Juventude,CF,26,100000,2024-12-31,37,3190,14,11.06,Brazil,"Brazil, Italy",direito,176,66,sim
404,João Lucas,Vila Nova,"AMF, CF, LCMF",23,100000,2024-12-31,25,960,3,2.69,Brazil,Brazil,esquerdo,173,75,sim
405,Victor Yan,Metalist Kharkiv,"CF, AMF",22,100000,2023-12-31,5,246,0,0.05,Brazil,Brazil,direito,180,70,sim
407,Weslen Júnior,Manama,CF,23,100000,2023-12-31,20,1452,6,4.92,Brazil,Brazil,esquerdo,187,79,sim
410,Matheus Anjos,ABC,"CF, AMF, LW",24,100000,2023-11-30,30,2373,5,3.61,Brazil,Brazil,direito,180,70,sim
416,Júlio Vitor,Ferroviária,"LW, RW, CF",22,100000,2024-12-31,11,328,0,1.47,Brazil,Brazil,direito,172,68,sim
417,Nathan,Oliveira Hospital,CF,24,100000,2023-12-31,34,1702,7,6.67,Brazil,Brazil,direito,190,83,sim
421,F. Pachtmann,Zira,CF,23,100000,2025-06-30,12,387,2,0.74,Brazil,Brazil,direito,188,81,sim
423,Myke,Nyíregyháza Spartacus,CF,31,100000,2026-06-30,20,1018,7,5.56,Brazil,"Brazil, Hungary",ambos,185,83,sim
424,Edson,Botafogo SP,"RW, CF, RAMF",25,100000,2023-12-10,43,1651,4,3.35,Brazil,Brazil,direito,178,70,sim
426,Sávio Roberto,VPS,"AMF, CF",27,100000,2023-12-31,25,1432,4,2.75,Brazil,Brazil,esquerdo,189,83,sim
428,Fabricio,Guangxi Pingguo Haliao,"LW, CF, AMF",33,100000,2023-12-31,19,913,4,2.23,Brazil,Brazil,direito,183,78,sim
429,David,Internacional U20,"AMF, CF, RAMF",19,100000,2025-12-31,11,832,2,0.31,Brazil,Brazil,direito,0,0,sim
431,Yuri,Ponferradina,CF,41,100000,2024-06-30,38,1901,10,6.97,Brazil,"Brazil, Portugal",direito,186,78,sim
432,Paulo Baya,Ponte Preta,"LW, CF, LAMF",24,100000,2023-11-30,34,1948,5,3.48,Brazil,Brazil,direito,184,72,sim
440,Henrique Devens,Transinvest Vilnius,CF,26,75000,2023-12-31,27,2174,21,21.33,Brazil,"Brazil, Luxembourg",direito,177,0,sim
442,Denilson,Seongnam,CF,25,75000,2025-08-01,25,1074,4,2.08,Brazil,Brazil,direito,190,84,sim
444,Douglas Jardel,Tacuarembó,"CF, AMF",28,75000,2023-12-31,22,1710,14,0.7,Brazil,Brazil,direito,182,75,sim
449,Bruno Gomes,Vllaznia Shkodër,CF,27,75000,2024-06-30,25,617,5,4.18,Brazil,"Brazil, Italy",direito,182,80,sim
450,Dennis Oelsner,Ulm,"AMF, CF, LW",27,75000,2024-06-30,10,188,1,2.02,Brazil,"Brazil, Germany",esquerdo,174,0,sim
452,Weslley Smith,Jiangxi Lushan,"CF, LW, LWF",31,75000,2023-12-31,28,2419,10,9.41,Brazil,Brazil,direito,180,75,sim
453,Caio Henrique,Campinense,"CF, AMF",21,50000,2024-11-30,5,310,2,0.3,Brazil,Brazil,direito,168,0,sim
456,Fabricio,Novo Hamburgo,CF,22,50000,2024-12-31,5,263,1,0.96,Brazil,Brazil,direito,180,72,sim
462,Matheus Iacovelli,XV de Piracicaba,"CF, RAMF, LAMF",25,50000,2023-11-30,8,297,1,0.81,Brazil,Brazil,direito,180,79,sim
463,Robertinho,Juventude,"RW, RAMF, RWF",23,50000,2023-11-30,28,1758,2,3.13,Brazil,Brazil,esquerdo,171,64,sim
464,Alejandro,Ituano,"CF, AMF, LCMF",21,50000,2025-12-31,24,1819,8,7.86,Mexico,"Mexico, Brazil",direito,170,66,sim
470,Kauan,Mirassol,CF,21,50000,2023-11-30,35,1721,3,6.95,Brazil,Brazil,direito,172,68,sim
473,Gustavo Xuxa,Botafogo SP,"AMF, CF, LW",30,50000,2024-12-05,25,886,2,1.35,Brazil,Brazil,direito,173,79,sim
475,Foguinho,Amazonas,"CF, AMF, RAMF",23,50000,2023-12-31,19,781,0,1.08,Brazil,Brazil,esquerdo,169,66,sim
476,João Pedro,Levadia,"RW, AMF, CF",21,50000,2025-07-31,14,724,2,1.83,Brazil,Brazil,esquerdo,170,60,sim
477,Camilo,Mirassol,"CF, RCMF, AMF",37,50000,2023-11-30,48,2312,6,5.01,Brazil,Brazil,direito,174,72,sim
478,Vinícius Alves,Sampaio Corrêa,"CF, LAMF, LW",24,50000,2023-11-30,28,1744,4,5.88,Brazil,Brazil,direito,181,74,sim
479,Welder,Vitória,"CF, RW, RWF",28,50000,2023-11-30,30,1905,9,4.05,Brazil,Brazil,direito,182,78,sim
483,Bambam,Itabaiana,CF,29,50000,2024-06-30,12,472,4,1.65,Brazil,Brazil,direito,183,82,sim
487,Danrlei,Chapecoense,CF,27,50000,2023-11-30,32,1689,3,3.29,Brazil,Brazil,direito,183,80,sim
488,Caio Mancha,FAS,CF,31,50000,2023-11-30,46,3197,11,11.0,Brazil,Brazil,direito,188,87,sim
489,Léo Ceará,Gyeongnam,"LW, CF, RW",24,50000,2024-11-30,36,1991,2,2.82,Brazil,Brazil,direito,175,66,sim
491,Ewertton,Gzira United,"CF, LW, AMF",26,50000,2026-06-30,25,1760,3,2.69,Brazil,Brazil,direito,164,0,sim
493,Beto Goncalves,PSBS Biak Numfor,CF,42,25000,2023-12-20,30,1786,9,7.96,Brazil,Brazil,direito,175,74,sim
496,Sandro,Madureira,CF,36,25000,2023-12-31,2,117,0,0.13,Brazil,"Brazil, Hong Kong",direito,186,70,sim
499,Nenê,AVS ,CF,40,25000,2024-06-30,31,2458,17,14.05,Brazil,Brazil,direito,183,78,sim
